date,pollution,dew,temp,press,wnd_spd,snow,rain
2010-01-02 01:00:00,137.68021005452292,-15,-4.0,1020.0,2.68,0,0
2010-01-02 02:00:00,143.24409043237364,-11,-5.0,1021.0,3.57,0,0
2010-01-02 03:00:00,161.8480480601492,-7,-5.0,1022.0,5.36,1,0
2010-01-02 04:00:00,112.394737817182,-7,-5.0,1022.0,6.25,2,0
2010-01-02 05:00:00,95.56284840438391,-7,-6.0,1022.0,7.14,3,0
2010-01-02 06:00:00,99.68340187673917,-7,-6.0,1023.0,8.93,4,0
2010-01-02 07:00:00,119.82041880082555,-7,-5.0,1024.0,10.72,0,0
2010-01-02 08:00:00,110.63575954718422,-8,-6.0,1024.0,12.51,0,0
2010-01-02 09:00:00,123.75381423426178,-7,-5.0,1025.0,14.3,0,0
2010-01-02 10:00:00,128.40379748775908,-7,-5.0,1026.0,17.43,1,0
2010-01-02 11:00:00,138.14615883376328,-8,-5.0,1026.0,20.56,0,0
2010-01-02 12:00:00,130.83895033991845,-8,-5.0,1026.0,23.69,0,0
2010-01-02 13:00:00,147.98774281598523,-8,-5.0,1025.0,27.71,0,0
2010-01-02 14:00:00,137.45410960951457,-9,-5.0,1025.0,31.73,0,0
2010-01-02 15:00:00,135.2293559029377,-9,-5.0,1025.0,35.75,0,0
2010-01-02 16:00:00,141.38243844858553,-9,-5.0,1026.0,37.54,0,0
2010-01-02 17:00:00,144.9921267429613,-8,-5.0,1027.0,39.33,0,0
2010-01-02 18:00:00,149.54650375355644,-8,-5.0,1027.0,42.46,0,0
2010-01-02 19:00:00,126.86103390964962,-8,-5.0,1028.0,44.25,0,0
2010-01-02 20:00:00,137.83980423595665,-7,-5.0,1028.0,46.04,0,0
2010-01-02 21:00:00,146.3759901343805,-7,-5.0,1027.0,49.17,1,0
2010-01-02 22:00:00,135.5151167920473,-8,-6.0,1028.0,52.3,2,0
2010-01-02 23:00:00,107.7680192669062,-8,-6.0,1027.0,55.43,3,0
2010-01-03 00:00:00,80.24419520446733,-7,-6.0,1027.0,58.56,4,0
2010-01-03 01:00:00,63.383808362403386,-8,-6.0,1026.0,61.69,5,0
2010-01-03 02:00:00,73.06501688775303,-8,-7.0,1026.0,65.71,6,0
2010-01-03 03:00:00,62.414444716267525,-8,-7.0,1025.0,68.84,7,0
2010-01-03 04:00:00,75.2220960138815,-8,-7.0,1024.0,72.86,8,0
2010-01-03 05:00:00,90.36551274112941,-9,-8.0,1024.0,76.88,9,0
2010-01-03 06:00:00,93.23543214146676,-10,-8.0,1024.0,80.9,10,0
2010-01-03 07:00:00,86.0192037286613,-10,-9.0,1024.0,84.92,11,0
2010-01-03 08:00:00,83.3526151811573,-10,-9.0,1024.0,89.84,12,0
2010-01-03 09:00:00,88.48652854114965,-11,-9.0,1023.0,93.86,13,0
2010-01-03 10:00:00,79.38581394416228,-11,-9.0,1023.0,97.88,15,0
2010-01-03 11:00:00,101.6255865012684,-11,-9.0,1022.0,102.8,16,0
2010-01-03 12:00:00,104.93907918115282,-11,-9.0,1021.0,105.93,17,0
2010-01-03 13:00:00,85.361632070817,-11,-9.0,1020.0,111.74,19,0
2010-01-03 14:00:00,96.14267794591917,-11,-9.0,1020.0,116.66,20,0
2010-01-03 15:00:00,93.44232898593796,-11,-9.0,1020.0,121.58,21,0
2010-01-03 16:00:00,84.72596364993825,-11,-9.0,1020.0,124.71,22,0
2010-01-03 17:00:00,71.26837982772622,-11,-9.0,1020.0,127.84,23,0
2010-01-03 18:00:00,66.79477962949568,-11,-9.0,1021.0,0.89,24,0
2010-01-03 19:00:00,60.728361918209586,-11,-9.0,1022.0,1.78,25,0
2010-01-03 20:00:00,80.9947454976753,-10,-9.0,1022.0,4.02,26,0
2010-01-03 21:00:00,76.82505205817294,-11,-10.0,1023.0,7.15,27,0
2010-01-03 22:00:00,80.52711844505562,-11,-9.0,1023.0,11.17,0,0
2010-01-03 23:00:00,77.1270823747789,-12,-11.0,1023.0,14.3,0,0
2010-01-04 00:00:00,83.88858016886162,-14,-12.0,1023.0,16.09,0,0
2010-01-04 01:00:00,61.227683819746176,-16,-9.0,1023.0,21.9,0,0
2010-01-04 02:00:00,34.55703281975231,-17,-10.0,1024.0,29.95,0,0
2010-01-04 03:00:00,44.94281444307924,-18,-11.0,1024.0,39.78,0,0
2010-01-04 04:00:00,46.682493205486836,-19,-11.0,1025.0,48.72,0,0
2010-01-04 05:00:00,44.23223664537096,-20,-12.0,1026.0,55.87,0,0
2010-01-04 06:00:00,38.8274668041697,-21,-12.0,1027.0,64.81,0,0
2010-01-04 07:00:00,49.64462010003268,-21,-13.0,1027.0,73.75,0,0
2010-01-04 08:00:00,44.05728765309976,-22,-13.0,1028.0,80.9,0,0
2010-01-04 09:00:00,46.01553391077948,-22,-13.0,1029.0,90.73,0,0
2010-01-04 10:00:00,45.79768236846148,-22,-12.0,1030.0,100.56,0,0
2010-01-04 11:00:00,43.942846925024455,-23,-12.0,1031.0,108.61,0,0
2010-01-04 12:00:00,48.62200522331692,-21,-11.0,1030.0,117.55,0,0
2010-01-04 13:00:00,50.48216999040554,-20,-10.0,1030.0,127.38,0,0
2010-01-04 14:00:00,45.703553455024526,-21,-10.0,1030.0,136.32,0,0
2010-01-04 15:00:00,47.935663174721455,-21,-9.0,1030.0,145.26,0,0
2010-01-04 16:00:00,48.77492031753464,-21,-9.0,1031.0,152.41,0,0
2010-01-04 17:00:00,48.54415036344436,-20,-11.0,1032.0,159.56,0,0
2010-01-04 18:00:00,46.38231562380362,-23,-11.0,1032.0,165.37,0,0
2010-01-04 19:00:00,45.14310789898964,-21,-12.0,1033.0,171.18,0,0
2010-01-04 20:00:00,50.56594500056053,-24,-12.0,1034.0,180.12,0,0
2010-01-04 21:00:00,51.37603231201372,-24,-13.0,1034.0,187.27,0,0
2010-01-04 22:00:00,46.76405514687112,-24,-13.0,1035.0,195.32,0,0
2010-01-04 23:00:00,49.95475462537772,-26,-15.0,1035.0,198.45,0,0
2010-01-05 00:00:00,48.354432543254234,-26,-17.0,1035.0,201.58,0,0
2010-01-05 01:00:00,52.49376658956166,-26,-18.0,1035.0,205.6,0,0
2010-01-05 02:00:00,44.29984941234702,-26,-19.0,1035.0,208.73,0,0
2010-01-05 03:00:00,44.219330717522226,-27,-18.0,1035.0,213.65,0,0
2010-01-05 04:00:00,47.94480022244964,-27,-19.0,1035.0,218.57,0,0
2010-01-05 05:00:00,47.03864754984246,-27,-16.0,1034.0,4.92,0,0
2010-01-05 06:00:00,45.22936832371498,-26,-16.0,1035.0,8.05,0,0
2010-01-05 07:00:00,45.49076193218043,-27,-16.0,1034.0,13.86,0,0
2010-01-05 08:00:00,45.555888063639266,-26,-16.0,1035.0,18.78,0,0
2010-01-05 09:00:00,47.54248378229853,-26,-15.0,1035.0,24.59,0,0
2010-01-05 10:00:00,54.08322714503704,-25,-14.0,1035.0,29.51,0,0
2010-01-05 11:00:00,46.1472379944271,-25,-13.0,1035.0,34.43,0,0
2010-01-05 12:00:00,44.95110114356338,-25,-12.0,1034.0,39.35,0,0
2010-01-05 13:00:00,57.886494484536236,-24,-11.0,1032.0,41.14,0,0
2010-01-05 14:00:00,56.481904401519486,-22,-11.0,1032.0,0.89,0,0
2010-01-05 15:00:00,47.61041217823448,-23,-11.0,1031.0,1.79,0,0
2010-01-05 16:00:00,66.91928047843268,-24,-11.0,1031.0,3.58,0,0
2010-01-05 17:00:00,68.16497416044935,-23,-11.0,1031.0,5.37,0,0
2010-01-05 18:00:00,69.4177338268758,-23,-11.0,1032.0,7.16,0,0
2010-01-05 19:00:00,69.59427458524627,-22,-13.0,1033.0,10.29,0,0
2010-01-05 20:00:00,93.12963599594974,-22,-12.0,1033.0,13.42,0,0
2010-01-05 21:00:00,108.4220838429741,-24,-18.0,1033.0,16.55,0,0
2010-01-05 22:00:00,61.83487765336896,-22,-13.0,1034.0,20.57,0,0
2010-01-05 23:00:00,57.49682242995,-22,-16.0,1033.0,23.7,0,0
2010-01-06 00:00:00,67.78976897716284,-25,-17.0,1033.0,26.83,0,0
2010-01-06 01:00:00,87.1906431177141,-25,-14.0,1033.0,4.02,0,0
2010-01-06 02:00:00,54.367510737269114,-26,-14.0,1034.0,8.04,0,0
2010-01-06 03:00:00,56.1128990148081,-26,-14.0,1033.0,13.85,0,0
2010-01-06 04:00:00,40.82327125447051,-26,-14.0,1033.0,17.87,0,0
2010-01-06 05:00:00,46.66089481608401,-26,-14.0,1033.0,23.68,0,0
